"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $592.76/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode"
"0x084cfe79a4fd6d1868752b61aa4ec6de9d4687b008912299b62a6bd05d12a25d","6985784","1619695429","2021-04-29 11:23:49","0xf01dd015bc442d872275a79b9cae84a6ff9b2a27","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.01","0","5.9276","0.000105","0.0622398","600.65","","",""
"0x1242933417f7566793f48d4e1068d4c73d792528fe5ec74155f272412badbbb9","6986231","1619696774","2021-04-29 11:46:14","0x99f60d88492bbe5bf0d0f6ea9dc07f6b7cd5aff3","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.07","0","41.4932","0.000105","0.0622398","600.65","","",""
"0xc626e150de1700e217ccbd5aa5831e9ca9560394124daac52a6242d9baf80c1f","6986664","1619698073","2021-04-29 12:07:53","0x8cfd55768d2d7b5261e9ad95a20cc0fb0799a9ea","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.16","0","94.8416","0.000105","0.0622398","600.65","","",""
"0x5567fb59cfc84cf881f0e5b21390f336ad40ef8974748f3fce4c974c049fee30","6988032","1619702188","2021-04-29 13:16:28","0xcffbb8537e1c6a23f2c51b5ce72664d5413d2c25","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.01","0","5.9276","0.000105","0.0622398","600.65","","",""
"0xc1d6a45b0158a773ebaceb4ff0b36e3c34c557c280fe0201c5a66c5bf19c2c25","6988155","1619702585","2021-04-29 13:23:05","0x486f017a0ffe9cb57dd9f0a262d80699e8347bee","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.015","0","8.8914","0.000105","0.0622398","600.65","","",""
"0x5af7f5bf50fa519419cdbb562cb364d0c5ce53c7f77a344c557b63496bdc8049","6988248","1619702880","2021-04-29 13:28:00","0x031e157b4822cefc2cbf432739fbd29ddaf755ed","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","1.5","0","889.14","0.000105","0.0622398","600.65","","",""
"0x9adc526858b5a64a7ec75e398c5a89c122622b02e7cf7898849e84d609d29375","6988255","1619702901","2021-04-29 13:28:21","0x977f26bfb6ff2935261364bee6adad2746358197","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.02","0","11.8552","0.000105","0.0622398","600.65","","",""
"0xc5c19c8a3910afb05e2d456ddc90db03038cec27a899ce53da2fd2f6f0af5c29","6988348","1619703180","2021-04-29 13:33:00","0xef34f1872209ddd66142738568dbf4f3e4c5d990","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.01","0","5.9276","0.000105","0.0622398","600.65","","",""
"0x8d1adc743e0e2d7f969d7fff893bbe414632c2ecd8f01a8412ab6b6a91c11896","6988415","1619703381","2021-04-29 13:36:21","0x4b840ea09b810a8b1da8cf546fdefcf88be35a30","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.0295494","0","17.515702344","0.000105","0.0622398","600.65","","",""
"0x2443d362705e1e5540d8eaf772ba478af4b678ced11749b3231c5dbdc04d136d","6988575","1619703861","2021-04-29 13:44:21","0xa972b3b940f6dddd0acd847de98ba255381a77f2","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.025","0","14.819","0.000105","0.0622398","600.65","","",""
"0x322895c0a2d6ab996d72b3fbb827854b161b8a864c786787af00793ba4986f30","6988636","1619704044","2021-04-29 13:47:24","0xd8ddd5b6d874a5aa3cafa011da7839002e8bfe04","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.1","0","59.276","0.000105","0.0622398","600.65","","",""
"0x7968048e9648c81beb0e3ca6ac5b1cd43fe837c6d53b2e362a59eead4f3e534e","6988668","1619704140","2021-04-29 13:49:00","0x68c0267c09437d10a6f67383b1a8456c371f6f09","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.05","0","29.638","0.000105","0.0622398","600.65","","",""
"0x34604afa53e1fed3fc70ac296bb569bbd5a41d6695b92233ed29b697caaf264b","6988690","1619704206","2021-04-29 13:50:06","0xe9eb6d4be2020be7c90f4557aa4c04f542366b01","0x41d10b48d99f49f1573769e1308f1a76ee5472b0","","0.03","0","17.7828","0.000105","0.0622398","600.65","","",""
